Latitude,Longitude,Performance Score
39.65,47.22,1.7259279286083309
39.65,47.26,1.8575212211619878
39.65,47.34,1.7774976196451053
39.65,47.38,1.8416938760085382
39.65,47.3,1.8916545664917006
39.65,47.46,1.8401175483799428
39.65,47.54,1.5203203820673898
39.65,47.58,1.4047698276852865
39.65,47.5,1.8282466336682976
39.65,47.62,1.531076296973599
39.65,47.66,1.4689046450961374
39.69,46.06,3.0
39.69,46.14,2.2866646295955815
39.69,46.18,1.7850781270985425
39.69,46.1,2.751969731088217
39.69,46.22,1.3970819961681051
39.69,46.26,1.2806247368657293
39.69,46.34,1.3312555516500117
39.69,46.38,1.446193411671392
39.69,46.3,1.2186157804586044
39.69,46.42,1.4349789708507126
39.69,46.46,1.3517797076815414
39.69,46.58,1.2543366600766723
39.69,46.5,1.0
39.69,46.62,1.0
39.69,46.66,1.3169384883592807
39.69,46.74,1.0
39.69,46.78,1.0
39.69,46.7,1.0
39.69,46.82,1.0
39.69,46.86,1.0
39.69,46.94,1.1606786442223331
39.69,46.98,1.2508561973190209
39.69,46.9,1.266903223632699
39.69,47.02,1.2692566032725145
39.69,47.06,1.2999858374556215
39.69,47.14,1.8711299649065056
39.69,47.18,1.7871386896488966
39.69,47.1,1.6505367704116314
39.69,47.22,1.4119489998306214
39.69,47.26,1.36608321968336
39.69,47.34,2.0137386255412135
39.69,47.38,2.3832348178265446
39.69,47.3,1.640537358826436
39.69,47.46,1.9407460708076403
39.69,47.54,1.5786313330218709
39.69,47.58,1.0
39.69,47.5,1.6568875384788269
39.69,47.62,1.5953683922657784
39.69,47.66,1.0
39.73,46.06,2.737651662472883
39.73,46.14,2.060936098119727
39.73,46.18,1.6378397140242693
39.73,46.1,2.4591957320730438
39.73,46.22,1.492127711524193
39.73,46.26,1.4672482718863684
39.73,46.34,1.0
39.73,46.38,1.1935422124072648
39.73,46.3,1.4061174856448355
39.73,46.42,1.0
39.73,46.46,1.2134440009330028
39.73,46.58,1.3195952448733856
39.73,46.5,1.2597219162962066
39.73,46.62,1.218380740662638
39.73,46.66,1.1625754242824617
39.73,46.74,1.0
39.73,46.78,1.0
39.73,46.7,1.250846338892386
39.73,46.82,1.161988844584904
39.73,46.86,1.0
39.73,46.94,1.0
39.73,46.98,1.332170089986805
39.73,46.9,1.0
39.73,47.02,1.0
39.73,47.06,1.3247876766386593
39.73,47.14,1.722840880998562
39.73,47.18,1.7720799228426527
39.73,47.1,1.486880244128665
39.73,47.22,1.3981555645247437
39.73,47.26,1.3123181583752337
39.73,47.34,2.048637616489032
39.73,47.38,2.4938078961014383
39.73,47.3,1.6167718988329394
39.73,47.46,1.7952396745818646
39.73,47.54,1.3962607439124792
39.73,47.58,1.0
39.73,47.5,1.436711502020656
39.73,47.62,1.5701747627522507
39.77,46.02,2.0522520673769766
39.77,46.06,2.429496881861174
39.77,46.14,1.8537977746335494
39.77,46.18,1.354947450727786
39.77,46.1,2.275777241250649
39.77,46.22,1.0
39.77,46.26,1.3555669957446301
